gameId,gameDate,gameType,homeTeam,awayTeam,homeScore,awayScore,winner,loser,homeWin,goalMargin,totalGoals,gameOutcome,overtime,venue
2025010101,2025-09-20,1,DAL,STL,2,1,DAL,STL,1,1,3,SO,1,American Airlines Center
2025010001,2025-09-21,1,LAK,ANA,3,1,LAK,ANA,1,2,4,REG,0,Toyota Arena
2025010013,2025-09-21,1,BOS,WSH,2,5,WSH,BOS,0,3,7,REG,0,TD Garden
2025010009,2025-09-21,1,CBJ,STL,4,1,CBJ,STL,1,3,5,REG,0,Nationwide Arena
2025010002,2025-09-21,1,EDM,CGY,2,3,CGY,EDM,0,1,5,OT,1,Rogers Place
2025010003,2025-09-21,1,CGY,EDM,0,3,EDM,CGY,0,3,3,REG,0,Scotiabank Saddledome
2025010103,2025-09-21,1,UTA,COL,1,5,COL,UTA,0,4,6,REG,0,Magness Arena
2025010104,2025-09-21,1,COL,UTA,3,2,COL,UTA,1,1,5,REG,0,Ball Arena
2025010004,2025-09-21,1,NSH,FLA,5,0,NSH,FLA,1,5,5,REG,0,Bridgestone Arena
2025010005,2025-09-21,1,NSH,FLA,5,3,NSH,FLA,1,2,8,REG,0,Bridgestone Arena
2025010006,2025-09-21,1,WPG,MIN,2,3,MIN,WPG,0,1,5,OT,1,Canada Life Centre
2025010007,2025-09-21,1,NJD,NYR,3,5,NYR,NJD,0,2,8,REG,0,Prudential Center
2025010008,2025-09-21,1,NYI,PHI,2,3,PHI,NYI,0,1,5,SO,1,UBS Arena
2025010010,2025-09-21,1,OTT,TOR,3,4,TOR,OTT,0,1,7,REG,0,Canadian Tire Centre
2025010011,2025-09-21,1,SEA,VAN,5,3,SEA,VAN,1,2,8,REG,0,Climate Pledge Arena
2025010012,2025-09-21,1,SJS,VGK,3,0,SJS,VGK,1,3,3,REG,0,SAP Center at San Jose
2025010017,2025-09-22,1,ANA,UTA,6,1,ANA,UTA,1,5,7,REG,0,Honda Center
2025010014,2025-09-22,1,CBJ,BUF,0,4,BUF,CBJ,0,4,4,REG,0,Nationwide Arena
2025010016,2025-09-22,1,CAR,TBL,1,2,TBL,CAR,0,1,3,REG,0,Lenovo Center
2025010015,2025-09-22,1,MTL,PIT,2,1,MTL,PIT,1,1,3,SO,1,Centre Bell
2025010018,2025-09-23,1,NYR,BOS,4,5,BOS,NYR,0,1,9,OT,1,Madison Square Garden
2025010020,2025-09-23,1,BUF,CBJ,2,1,BUF,CBJ,1,1,3,REG,0,KeyBank Center
2025010027,2025-09-23,1,CGY,SEA,4,1,CGY,SEA,1,3,5,REG,0,Scotiabank Saddledome
2025010019,2025-09-23,1,DET,CHI,3,2,DET,CHI,1,1,5,REG,0,Little Caesars Arena
2025010021,2025-09-23,1,DAL,MIN,3,2,DAL,MIN,1,1,5,OT,1,American Airlines Center
2025010022,2025-09-23,1,WPG,EDM,2,3,EDM,WPG,0,1,5,REG,0,Canada Life Centre
