team,playerId,firstName,lastName,positionCode,gamesPlayed,goals,assists,points,plusMinus,shots,shootingPctg,satPercentage,usatPercentage,zoneStartPct5v5,avgTimeOnIcePerGame,birthCountry,birthDate,blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,faceoffWinPctg,firstGoals,gameWinningGoals,giveaways,giveawaysPer60,heightInInches,hits,hitsPer60,missedShotCrossbar,missedShotFailedBankAttempt,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,otGoals,overtimeGoals,penaltyMinutes,powerPlayGoals,satPercentageAhead,satPercentageBehind,satPercentageClose,satPercentageTied,satRelative,seasonId,shootingPct5v5,shootsCatches,shootsCatches_roster,shorthandedGoals,shotAttemptsBlocked,skaterFullName,skaterSavePct5v5,skaterShootingPlusSavePct5v5,sweaterNumber,takeaways,takeawaysPer60,teamAbbrevs,timeOnIcePerGame,timeOnIcePerGame5v5,totalShotAttempts,usatPercentageAhead,usatPercentageBehind,usatPercentageTied,usatPrecentageClose,usatRelative,weightInPounds
ANA,8473986,Alex,Killorn,L,71,12,16,28,-2,133,0.090226,0.513,0.512,0.484,990.4085,,,28,1.43,2,0,2,0.345455,0,2,58,2.96,,57,2.91,0,1,3,2,1,48,55,0,0,36,3,0.466,0.572,0.5,0.487,-0.002,,0.075,,,0,38,Alex Killorn,0.908,0.983,,20,1.02,ANA,990.4,728.985,226,0.485,0.563,0.481,0.495,-0.004,
ANA,8474590,John,Carlson,D,60,10,40,50,14,125,0.08,,,,1376.5667,,,,,,,,0.0,,0,,,,,,,,,,,,,,0,28,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,
ANA,8475184,Chris,Kreider,L,65,22,24,46,-1,120,0.183333,0.546,0.54,0.588,1021.1077,,,19,1.03,1,2,3,0.388889,3,3,60,3.25,,58,3.14,0,1,4,5,1,64,75,1,1,26,8,0.561,0.574,0.542,0.497,0.036,,0.102,,,0,53,Chris Kreider,0.886,0.988,,16,0.86,ANA,1021.1,742.907,248,0.596,0.555,0.477,0.535,0.027,
ANA,8475462,Radko,Gudas,D,53,2,11,13,-1,62,0.032258,0.521,0.523,0.498,996.8302,,,83,5.65,0,0,0,0.0,0,0,43,2.93,,159,10.83,0,0,1,1,1,35,38,0,0,45,0,0.485,0.561,0.511,0.502,0.004,,0.084,,,0,68,Radko Gudas,0.902,0.986,,8,0.54,ANA,996.83,879.886,168,0.52,0.543,0.502,0.505,0.006,
ANA,8475798,Mikael,Granlund,C,47,16,15,31,-10,93,0.172043,0.507,0.512,0.456,1128.5745,,,30,2.03,1,2,3,0.48366,2,1,37,2.51,,25,1.69,2,0,3,2,0,38,45,1,1,18,6,0.454,0.543,0.485,0.503,-0.021,,0.074,,,0,32,Mikael Granlund,0.893,0.967,,17,1.15,ANA,1128.57,762.446,170,0.474,0.544,0.501,0.488,-0.018,
ANA,8476885,Jacob,Trouba,D,70,10,22,32,6,144,0.069444,0.515,0.513,0.482,1373.4857,,,132,4.94,3,1,4,0.0,1,1,75,2.8,,121,4.53,1,0,1,5,0,55,62,1,1,31,0,0.476,0.564,0.507,0.49,0.002,,0.089,,,0,94,Jacob Trouba,0.902,0.991,,21,0.78,ANA,1373.48,1070.614,300,0.489,0.557,0.481,0.503,-0.003,
ANA,8477527,Ross,Johnston,L,62,3,11,14,0,33,0.090909,0.477,0.478,0.404,584.629,,,,,,,,0.454545,,0,,,,,,,,,,,,,,0,107,0,0.461,0.534,0.447,0.433,-0.043,,0.122,,,0,,Ross Johnston,0.905,1.027,,,,ANA,,577.032,,0.458,0.537,0.432,0.44,-0.042,
ANA,8478366,Frank,Vatrano,R,44,4,4,8,-10,72,0.055556,0.48,0.467,0.416,719.4318,,,26,2.95,0,1,1,0.428571,0,1,16,1.81,,73,8.3,0,0,5,1,1,27,34,0,0,38,0,0.455,0.473,0.486,0.504,-0.042,,0.065,,,0,23,Frank Vatrano,0.895,0.96,,5,0.56,ANA,719.43,612.045,129,0.467,0.443,0.49,0.464,-0.058,
ANA,8478424,Jansen,Harkins,C,44,3,5,8,-6,37,0.081081,0.482,0.484,0.433,575.4318,,,24,3.41,0,0,0,0.513514,1,0,27,3.83,,113,16.06,0,0,1,1,0,21,23,0,0,28,0,0.409,0.498,0.505,0.536,-0.032,,0.055,,,0,18,Jansen Harkins,0.913,0.968,,6,0.85,ANA,575.43,551.522,78,0.418,0.5,0.529,0.492,-0.034,
ANA,8478873,Troy,Terry,R,51,17,35,52,13,122,0.139344,0.523,0.524,0.516,1097.4902,,,15,0.96,1,2,3,0.5,2,2,41,2.63,,0,0.0,3,2,8,10,0,45,68,1,1,12,0,0.514,0.563,0.512,0.484,0.01,,0.116,,,2,57,Troy Terry,0.885,1.001,,22,1.41,ANA,1097.49,782.039,247,0.541,0.554,0.477,0.516,0.01,
ANA,8479705,Jeffrey,Viel,L,34,2,5,7,-1,43,0.046512,,,,715.6471,,,,,,,,0.25,,0,,,,,,,,,,,,,,0,59,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,
ANA,8480068,Ryan,Poehling,C,64,9,22,31,11,76,0.118421,0.483,0.483,0.389,897.9063,,,73,4.57,1,1,2,0.469838,1,2,44,2.75,,38,2.38,1,3,3,1,0,34,42,0,0,8,0,0.518,0.497,0.473,0.441,-0.041,,0.117,,,2,32,Ryan Poehling,0.909,1.026,,14,0.87,ANA,897.9,701.343,150,0.529,0.482,0.447,0.472,-0.041,
ANA,8481563,Drew,Helleson,D,53,2,10,12,-7,35,0.057143,,,,1039.3962,,,73,4.77,1,0,1,0.0,0,0,39,2.54,,57,3.72,0,0,1,2,0,20,23,0,0,20,0,,,,,,,,,,0,59,Drew Helleson,,,,24,1.56,ANA,1039.39,,117,,,,,,
ANA,8481605,Jackson,LaCombe,D,71,9,41,50,1,136,0.066176,0.522,0.522,0.471,1456.0986,,,117,4.07,2,1,3,0.0,2,0,91,3.16,,63,2.19,1,4,3,3,2,53,66,0,0,19,3,0.487,0.568,0.509,0.498,0.011,,0.091,,,1,101,Jackson LaCombe,0.892,0.983,,45,1.56,ANA,1456.09,1051.577,303,0.507,0.556,0.495,0.51,0.009,
ANA,8481754,Nikita,Nesterenko,C,29,1,8,9,-2,31,0.032258,0.492,0.511,0.455,735.4138,,,8,1.35,1,0,1,0.392857,0,1,14,2.36,,53,8.94,1,0,2,1,1,11,16,0,0,8,0,0.456,0.505,0.5,0.51,-0.039,,0.075,,,0,22,Nikita Nesterenko,0.917,0.992,,1,0.16,ANA,735.41,665.862,69,0.476,0.514,0.542,0.524,-0.013,
ANA,8482118,Sam,Colangelo,R,9,1,0,1,-3,7,0.142857,0.416,0.375,0.479,610.6667,,,1,0.65,,0,,0.5,0,0,8,5.24,,11,7.2,1,0,0,1,0,1,3,0,0,4,0,0.363,0.466,0.398,0.411,-0.096,,0.071,,,0,7,Sam Colangelo,0.907,0.978,,1,0.65,ANA,610.66,569.555,17,0.391,0.424,0.343,0.347,-0.13,
ANA,8482178,Ian,Moore,D,56,4,8,12,-7,57,0.070175,0.516,0.527,0.477,850.5,,,77,5.82,0,0,0,0.0,0,1,34,2.56,,29,2.19,0,0,0,4,0,40,44,0,0,24,0,0.527,0.551,0.475,0.453,0.002,,0.068,,,0,46,Ian Moore,0.889,0.957,,17,1.28,ANA,850.5,774.517,147,0.553,0.567,0.445,0.479,0.015,
ANA,8482745,Mason,McTavish,C,64,14,20,34,-9,124,0.112903,0.516,0.52,0.581,939.4375,,,31,1.85,0,1,1,0.48895,2,3,47,2.81,,77,4.61,2,3,5,5,3,84,102,0,0,40,4,0.509,0.535,0.506,0.496,0.0,,0.097,,,0,57,Mason McTavish,0.882,0.979,,14,0.83,ANA,939.43,770.203,283,0.518,0.529,0.509,0.511,0.004,
ANA,8482803,Olen,Zellweger,D,69,7,13,20,2,115,0.06087,0.532,0.532,0.549,1041.2899,,,77,3.85,0,0,0,0.0,0,1,60,3.0,,30,1.5,2,4,5,3,2,51,67,1,1,32,1,0.49,0.573,0.531,0.513,0.026,,0.098,,,0,101,Olen Zellweger,0.901,0.999,,18,0.9,ANA,1041.28,892.869,283,0.517,0.559,0.513,0.531,0.026,
ANA,8483445,Cutter,Gauthier,L,70,36,26,62,-2,260,0.138462,,,,1046.1143,,,20,0.98,1,3,4,0.48731,6,7,69,3.39,,57,2.8,0,6,8,1,7,103,125,1,1,26,9,,,,,,,,,,0,115,Cutter Gauthier,,,,18,0.88,ANA,1046.11,,500,,,,,,
ANA,8483490,Pavel,Mintyukov,D,66,8,12,20,-1,70,0.114286,0.498,0.503,0.495,1107.1212,,,104,5.12,1,1,2,0.0,0,2,61,3.0,,35,1.72,2,1,0,1,1,46,51,0,0,10,0,0.526,0.502,0.477,0.473,-0.026,,0.086,,,0,61,Pavel Mintyukov,0.901,0.987,,15,0.73,ANA,1107.12,893.575,182,0.537,0.503,0.476,0.477,-0.021,
ANA,8484153,Leo,Carlsson,C,59,24,36,60,3,153,0.156863,0.551,0.542,0.615,1149.7966,,,20,1.06,5,0,5,0.441667,2,3,68,3.6,,12,0.63,2,2,6,2,0,58,70,1,1,31,4,0.536,0.598,0.539,0.5,0.054,,0.095,,,2,80,Leo Carlsson,0.88,0.975,,24,1.27,ANA,1149.79,806.0,303,0.554,0.582,0.481,0.526,0.043,
ANA,8484762,Beckett,Sennecke,R,71,21,34,55,-13,171,0.122807,0.513,0.516,0.57,1051.2817,,,22,1.06,1,0,1,0.5,2,2,80,3.85,,85,4.09,1,1,5,3,2,86,98,1,1,50,1,0.477,0.542,0.5,0.505,-0.002,,0.088,,,1,63,Beckett Sennecke,0.89,0.978,,21,1.01,ANA,1051.28,836.633,332,0.498,0.537,0.503,0.501,0.0,
