gameId,gameDate,homeTeam,awayTeam,venue,startTimeUTC,gameState
2025021137,2026-03-26,MTL,CBJ,Centre Bell,2026-03-26T23:00:00Z,FUT
2025021138,2026-03-26,OTT,PIT,Canadian Tire Centre,2026-03-26T23:00:00Z,FUT
2025021139,2026-03-26,TBL,SEA,Benchmark International Arena,2026-03-26T23:00:00Z,FUT
2025021140,2026-03-26,FLA,MIN,Amerant Bank Arena,2026-03-26T23:00:00Z,FUT
2025021141,2026-03-26,NYI,DAL,UBS Arena,2026-03-26T23:00:00Z,FUT
2025021142,2026-03-26,PHI,CHI,Xfinity Mobile Arena,2026-03-26T23:00:00Z,FUT
2025021143,2026-03-26,STL,SJS,Enterprise Center,2026-03-27T00:00:00Z,FUT
2025021144,2026-03-26,NSH,NJD,Bridgestone Arena,2026-03-27T00:00:00Z,FUT
2025021145,2026-03-26,WPG,COL,Canada Life Centre,2026-03-27T00:00:00Z,FUT
2025021146,2026-03-26,UTA,WSH,Delta Center,2026-03-27T01:00:00Z,FUT
2025021147,2026-03-26,CGY,ANA,Scotiabank Saddledome,2026-03-27T01:00:00Z,FUT
2025021148,2026-03-26,VGK,EDM,T-Mobile Arena,2026-03-27T01:30:00Z,FUT
2025021149,2026-03-26,VAN,LAK,Rogers Arena,2026-03-27T02:00:00Z,FUT
2025021150,2026-03-27,BUF,DET,KeyBank Center,2026-03-27T23:00:00Z,FUT
2025021151,2026-03-27,NYR,CHI,Madison Square Garden,2026-03-27T23:00:00Z,FUT
2025021152,2026-03-28,TBL,OTT,Benchmark International Arena,2026-03-28T17:00:00Z,FUT
2025021153,2026-03-28,NYI,FLA,UBS Arena,2026-03-28T17:00:00Z,FUT
2025021154,2026-03-28,EDM,ANA,Rogers Place,2026-03-28T19:30:00Z,FUT
2025021155,2026-03-28,BOS,MIN,TD Garden,2026-03-28T21:00:00Z,FUT
2025021156,2026-03-28,PIT,DAL,PPG Paints Arena,2026-03-28T21:00:00Z,FUT
2025021157,2026-03-28,CAR,NJD,Lenovo Center,2026-03-28T21:00:00Z,FUT
2025021158,2026-03-28,CBJ,SJS,Nationwide Arena,2026-03-28T21:00:00Z,FUT
2025021159,2026-03-28,BUF,SEA,KeyBank Center,2026-03-28T21:30:00Z,FUT
2025021160,2026-03-28,STL,TOR,Enterprise Center,2026-03-28T23:00:00Z,FUT
